category_l1,num_repeats,num_unique_pairs,repeat_rate
Sữa,791059,1925406,0.41085308760853556
Tã,663100,2008099,0.33021280325322605
Sữa nước,479849,1497446,0.320444944258424
Vệ sinh,288877,1222776,0.2362468677828155
Thực phẩm cho bé,1861909,9271017,0.2008311493766002
TPCN,219422,1095186,0.20035135584275182
Hóa mỹ phẩm cho bé,404748,2547465,0.15888265393243872
Thực phẩm cho gia đình,102260,755435,0.13536571644152046
Hóa mỹ phẩm gia đình,10510,105491,0.09962935226701804
Babycare,312084,3397775,0.09184951917063372
Textile,45526,695911,0.06541928493729801
Thời trang,70431,2240481,0.03143566046755139
Đồ chơi & Sách,21101,985527,0.021410879661338554
Phụ kiện,10814,561871,0.019246410652979065
Gói Hội Viên,5415,288512,0.018768716725820762
,0,43,0.0
